review_id,date,content,author
UR122845296,2012-9-January,The Warwick Seattle is generally shabbier than I expect from a 3.5-star hotel: the carpets on the stairs leading to the second floor are dingy and worn the lobby is tiny the furniture in my room looked dated the hotel exterior looked dated the coffeemaker in my room had some rust on the heating element. All of these things added up to a hotel that seemed as though it peaked in 1988 and has been in a state of decline since. I was also given a terrible room: on the second floor (207) with banquet staff passing by my door constantly the neon lights of the Cinerama just outside of my window and listening to buses drive by all day and night. It felt like I was sleeping in a bus terminal. When I asked for another room I was told that I would have to pay more for anything better (though the hotel hardly seemed busy). Perhaps those who stay in the executive suites have better luck but this really felt to me like a 2-star experience.,CupidandPsyche88
UR126890673,2012-29-March,So I booked a hotel room at the Warwick Hotel in Seattle Washington. I got there with my 2 boys around 8:30 at night...they offer a "late" checkin so I thought we were okay getting there at that time since I had to work that day and then drive the 2.5 hours down there from Vancouver BC. We arrived checked in went up to our room and there was ONE bed. My 2 sons are BOTH over 6 feet tall and there was NO way I was going to sleep on the couch or make one of them sleep on the couch since I reserved a room that would sleep all of us. When I went downstairs to inform them and ask for a different room they let me know that if I booked through a 3rd party (Hotwire) then they only had to give me what was left and not what I requested. Oh REEEEEEAAAALLLLLY?!?! So I ended up having to pay $40/night for a room UPGRADE because apparently THAT room (with 2 beds) wasn't "AVAILABLE". WTF. Nighttime front desk service was dismal. Daytime service was lovely. Oh...and...be prepared to spend $30 on hotel parking PER NIGHT. Public lots only charge $10 overnight and $12 daytime....so somehow the hotels (who are taking all your money in the first place) can't give guests a rate break but instead charge even MORE. Bad. Bad. Bad.,Greeneydgirl1969
UR126785165,2012-27-March,My wife and I had planned this valentine 22 year wedding anniversary night for some time we had made all the arrangement's for a great dinner room romance ect. The room was Awsome with the Space Needle so close and perfect pictures! Without getting in to details we were starting our evening and heard something outside the door. A CREEPY OLD MAN LEANING AGAINST THE DOOR LISTENING!!! this is a $300 a night room no a motel? we called down to the front desk and they said they would contact security ASAP. We heard the 2 way radio directly outside the door. THIS WAS THE SECURITY!!. needles to say we did not sleep the rest of the night. The Manager listen to my issues did not offer any support however he would look into it. We waited now over a month and still no call regarding this issue so it is important that people know of this. IT OBVIOUSLY WAS BRUSHED UNDER THE RUG. BE CAUTIOUS BEFORE STAYING HERE. The next day we seen this guy again helping with peoples cars in the garage and he just stopped and looked at us like we did something wrong????????? .,fitequipmentdoc
UR125128335,2012-24-February,Though the location was OK I would definitely not recommend this hotel. We had booked a non smoking room 4 weeks before arival and when we arrived we have been told that the only room left was a smoking room with an obscur explanation of problem with the booking agency. The desk services were poor and we had to pay extra charge to be in a non smoking room. The rooms were supposed to be recently renewed the bathroom was not. It was not very clean either. Don't go there !,Sabinis
UR126223363,2012-17-March,I stayed here because I could not access my usual hotel. The hotel's location is convenient however the first impression is not great. The hotel is dated and in need of renovating. I was in a renovated room but the attention to detail was lacking. The wall paper was peeling ceiling tiles in the bathroom were loose and the heat sensor about the shower was dangling. The service; - embarrassing. Housekeeping man compared his Blackberry to mine in the hallway and Housekeeper returns to the room with facecloths only to "scold" me for something. The entire time at the hotel the internet was unsecure and when I got home I've clearly received the spam from this connection. The only great I can say is the view.,hotel_goddess0
UR124586104,2012-14-February,This hotel is horrible! I stayed for valentines weekend one night until I could move into my time shares and it is NOTHING like the pictures it promotes. You do not get flat screens or a view. We stayed in a room that looks like its from the eighties with a twenty dollar TV! Also our view was a balcony that you cannot step out onto with a huge eight foot concrete retaining wall. I called down right after we checked in and got the "we cannot refund your money or do anything about it" response. We called everywhere we could to not sleep there and forget about our money. Another thingYou do not get free breakfast either and the hospitality was far from professional. Expedia went as far as sending us a hundred dollar voucher in exchange for the pictures we took of worn down room! don't believe the star rating I would never stay here ever again!,Nikole S
UR117682480,2011-4-September,There's a lot about this hotel I didn't like some that I didn't mind and the circumstances were not ideal. That is we didn't choose the place terribly carefully. My wife needed a certain corporate rate for a business trip she brought the family we didn't do as much research as we otherwise might for a business-plus-pleasure-bring-the-family trip. First impressions count for a lot and the Warwick really bit the big one here. I've never stayed anywhere so militant about its check in time particularly one so slack as 3:00 p.m. We flew in from the east coast and arrived at 11:30 a.m. or so. No room available. We were told to check back in two hours. We came back at 2:15 or so and had to sit until 3:01 to get our room. The front desk staff were not only unconcerned but barely masked their mild amusement at our inconvenience. The lobby was full of people in the same situation. The lobby was small and beat up and managed to look like a refugee camp for much of the time we were there. Slow elevators aggravated the conditions. After the abysmal welcome the mediocre room was rather refreshing. But the plumbing was poor. The faucets mustered barely a trickle and the tub drain was slow. The TV was a traditional 4:3 job placed rather low in a console so you can't see it well in the bed kind of hidden behind your feet. We were on the 5th floor facing a bus stop which was hugely noisy. It was as if the room acoustics were tuned to the bus engines. They start running at about 5 a.m. during the week; mercifully later on the weekend. That said. The location is excellent. Convenient to convention center Pike Place market waterfront Seattle Center and surrounded by worthy restaurants. The bar in the hotel isn't bad. An upscale market across the street gets you all you need (except fresh bread) at nearly any hour. There's a refridgerator in the room. The Cinerama across the street has a cool retro look to it and there's a view of the Space needle. The street scene is fun to watch. Beyond the few rotten apples at the front desk the bell and housekeeping staff were friendly and professional. Consistent with the late check-in time the noon check-out time is rather generous. The pool/whirlpool is fine for a quick dip and the gym looked O.K. too. We got the sense that the Warwick does a high-volume tourist business associated with the cruise ship terminals not far away. I suppose the hotel is appropriate for that market; a place to crash before embarking on a cruise or making an airport connection with perhaps a few hours to see a bit of Seattle's sights. The Warwick is definitely not a business class hotel but perhaps it's unfair to hold it to that standard. Whatever the application there are no doubt much better places to stay in Seattle. At the right price (a very low one) I would not discourage someone from staying at the Warwick. But I would not recommend it.,Aerocraft67
UR120178031,2011-4-November,Buyer beware if your a Hotwire customer and this is the hotel you get. When I checked in I was informed that the only room available was a smoking room (frankly was surprised there were smoking rooms anymore) But... for $40 more I could upgrade to a nicer room. I declined out of principle. The rooms are fine but quite noisy. I would have given this an average rating but the whole "bait and switch" thing and smelly smoking room made this a terrible experience.,Hawksurfs
UR122340242,2011-31-December,Booked two nights in this hotel mainly to get a room with Space Needle view so my Mom who is a senior citizen can see the New Year's eve fireworks comfortably inside the room. When I booked online I specified that request. When we arrived at the hotel on Dec 31st at 1pm again I made that request and I was told a room is available with a king size bed which is fine as long as it has the Space Needle view. I was ready to pay to reserve the room but the receptionist refused to take my card and told me to come back at 3 instead and the room will be ready. Came back at 5pm and another receptionist checked us in but told us the room is not available anymore they transferred us to a City View room. Why??? This receptionist told us we only booked for a deluxe room and WE NEED TO UPGRADE to get a room with Space Needle View! I would rather these people be straight with me and say they want more money rather then give me excuses!,88bee88
UR119859654,2011-29-October,We stayed here twice in 2 weeks during our honeymoon. The first time it was just for a night and the experience was average. The parking garage is small crowded and a nightmare to navigate; the attendants are not much help nor as friendly if you choose to park yourself instead of using the valet service. A week later we stayed for 4 nights and used the valet. The people at the desk are friendly enough but not very informative. The second time around we got a room on the second floor that had not been renovated. I dont mind that the stuff is outdated as long as it works. The hair dryer was not functioning the tv (big old tv) was fuzzy and did not have a remote control the shower had no water pressure and when we took out the old beat up ironing board a dirty handkerchief fell out of the closet; disgusting. If you have to stay there make sure you ask for a clean updated room. The reason I did not rate this as "terrible" is because the restaurant was GREAT (although pricy) and the front desk will mail out your post-cards for you--very convenient!,l i
