review_id,date,content,author
UR124349977,2012-9-February,I booked a room for a friend and was shocked. Past the reception the hotel inside is a labyrinth smelly old. The room was a disaster. One wiindow could not be shut half of the carpet was missing the toilet had partioned walls with no plaster or wall paper on it. Just board! THe staff was mostly unhelpful and was charged  59!! Stay away from this dump.,ItaloScot69
UR122772907,2012-8-January,The hotel is being updated but it didn't trouble us. The name is being changed to All Seasons ....in 2012. The beds were very good. I think our room was "new". The rooms are very basic . Our room 921 was a 5 minute labyrinth walk from the reception. We had a kingsize bed and a single bed. The room is small with a chair a chest with three drawers and a small open closet with 1 shelf. There is a very small desk with a watercooker and two cups and teabags. The television is small. There are no bedlights just two lamps on the ceiling. The bathroom is very small with a (good) shower sink and toilet.All most no room to place things. The bathroom is dirty in the corners.There is allmost immediately very hot water. We had 3 not to large white towels for two persons. There was a stain on one. We had no hairdryer. Breakfast is very basic with white bread jam. Cereals with milk. Tea coffee hot choco or choco milk. The bread can be toasted. Sometimes there was brown bread. The parking is free you have to ask for a notice to park there yourself. The Wi-fi in the lobby worked and is free. It is not to far away from London.(15 min. walk to the station (=2 min. by bus 249) and 30 min by tube to London Victoria). Take a travelcard at the station for 4 zones for 7 pound 70 pro person and you can travel to London and back and the whole day by bus and tube.For 7 days you can have a different card for 34 pound. When we asked for a room near our children that was not possible. An extra keycard for our three children was also not possible. It seems they have read your reviews as there was now brown bread better beds notes on the walls to tell the direction in some parts of the hotel. When the hotel would be cleaner and there would be bedlamps installed and at breakfast cheese ham eggs and more brown bread and some fruit giventhe hotel would be better.,avmn
UR125586771,2012-4-March,Reception kept changing room rates from 30 per night up to 50. i left spare change in my case and alot went missing!! Alot of building contractors here and the smell of canabis over powering!! over all DONT BRING THE GIRL FRIEND!!,craig f
UR122516524,2012-4-January,Being fair and honest in this review. It was 30! So i wasnt expecting much i have stayed in hostels for the same money. However you expect the basics of what every website advertises for the hotel eg. towels tv tea and coffee. We went in dropped off or luggage and headed into London as check in isnt until 2.00pm. I would strongly reccommend that you check the room before you accept it. We returned quite late after a day in the City and were exhuatsed we went into the room which didnt look too bad at first although quite dated. We discovered: TV- didnt work - it had bee selotaped together! Tea&Coffee - We had one mug two saucers no spoon and more importantly NO kettle! Bed Linen - Stained! Towels - one hand towel for 2! Then we put all that to the side didnt want to cause any fuss went to sleep to wake up and find we had to share a hand towel! The drive was to leave we popped upstairs for breakfast toast and cornflakes - continental really?? Upon checking out i told the receptionist the issues that we had with the room they were not bothered by what i had to say and were generally dismissive just an apology would have been nice! I have seen some recent pictures of the refurb which look good i hope it carries on through the rest of the hotel as at the moment it is just a disgrace at least advertise it as it is!,Honesty8787
UR126868609,2012-28-March,Walked into a tiny room with a double bed for me and a friend we then said there's two of us sleeping separately and they moved two single beds apart whilst doing this they removed the sheets and the mattresses were stained. We told them this was not acceptable but they refused to do anything about it! To add to this there was no room to walk so if there was a fire we wouldnt have been able to get out and the tv had no signal! The bathroom was disgusting shower head and taps were dirty doesnt look like it has been cleaned for years! To add insult to injury all of the curtains were stained and dirty. All round a terrible hotel! Never stay here!,Amber E
UR126726000,2012-27-March,Stayed at this hotel for location close to family I would never ever stay there again rooms filthy health and safety doesn't exist staff are rude smoke alarms hanging from the ceilings showers dont work no plug in bath (not that I would have liked to have used them so dirty). Please please look for somewhere else to stay.,luscombesd
UR125189593,2012-25-February,The pictures that this hotel displays is NOTHING less than a pure FALSEHOOD! The hotel is over 45mins from the center of city. It is Absoultly FILTHY! We checked in at apprx 3pm and checked out by 3:10...The place smells like grease garlic and sweaty bodies. The windows were bolted shut the plaster on the ceiling was falling one of our rooms had electricity. This hotel shouldn't even be rated a 1. Getaroom and anyother booking service should be embarassed to even represent the hotel!,Sharon S
UR126580351,2012-24-March,My parents and I had two rooms booked for one night. A single and double room. When we arrived my parents window was broken and needed fixing we had to go out and they assured us that they would fix it. When returned at 9pm it was not done. The single glazing was noisy as was all the other guests you could hear. The coffee making facilites were bad the plugs were covered up and they had to put the kettle on the floor. They had no spoons to make the coffee properly. The pillows were uncomfy and generally they had a bad night. When we went to the bar a member of staff went behind the bar to get himself a drink so we went to the local pub. My single room......well the window was broken the heating was stuck on one setting the plug socket was hanging off the wall the tv ariel was held in by masking tape that had been reused and only just stayed in the channels were only two there was no telephone generally very uncomfortable and dirty. The continental breakfast was soggy toast and cereal. The service was generally awful. I have stayed in better hostels.,Deborah J
UR123424131,2012-21-January,I wouldnt go back to this hotel if you paid me. After arriving on a very early flight from Vancouver we were made to wait 8 hours for a room. When we eventually got our room we believed they had cleared out a storage cupboard and put us in there. The floor wasnt flat and tilted downwards. There was holes in the wall. The room was small and dirty. The furniture was falling apart. We complained and were shown a room with bunk beds! My boyfriend and I were really hoping for something a little more adult - not to mention the room looked like a prison cell. After more arguing we were taken through a rabbit warren of corridors down to the 'dungeon room'. It had no windows and we felt as though we were miles underground. The 4th room appeared ok at first glance and we agreed to take it. We changed out of our traveling clothes got ready to take a shower only to find mould all over the bathroom ceiling after pulling the shower curtain back. We also discovered the window wouldnt lock and had a big crack through it (not safe at all). We then trudged back to the reception in our pyjamas and argued with the manager for another hour. Eventually he showed us a superior room - it was like night and day. The room was big and spacious and clean!!! I said 'we'll take it'. He told us there would be an extra charge per night. I told him that I would not pay the extra and after more arguing he eventually agreed to let us have it. The rooms they show online are of the superior rooms and the cheap rooms they sell online are the ones I have detailed above. BEWARE and fight for a better room. We were taken to and shown a ridiculous amount of dumps before the manager gave in and showed us a superior room. What a joke this hotel is and the staff couldn't care less. Half of them don't even speak English.,Lisa R
UR126246468,2012-17-March,definitely the hostel is too far from the city center (15 min walk to overground and then about 20 min to London Bridge) so If you are just for 2 or 3 days better take something closer. Usually overcrowded and bit noisy during the night. The positive thing - lean rooms (but small) and friendly atmosphere.,Anna M
UR122905815,2012-11-January,We wish we had read the reviews on Trip Advisor before we booked. Terrible hotel- things were falling apart. Our room was very basic (but liveable) but the rest of the hotel was dilapadated. They advertised having a restaurant and room service facility- the restaurant was permanantly closed and room service was non exsistant. Their 'Continental' Breakfast was literally bread and water- an absolute joke. Only good point was a lovely restaurant down the road in the town.,rocky2410
